ProbeIDs	GAOM_10	GAOM_11	GAOM_3	GAOM_6
1700009N14Rik	0	0	0	0
1700009P17Rik	9	5	2	4
1700010B08Rik	0	0	0	0
1700010D01Rik	0	0	0	0
1700010I02Rik	0	0	0	0
1700010I14Rik	3	7	5	2
1700010J16Rik	0	0	0	0
1700010K23Rik	0	0	0	0
1700010M22Rik	0	0	0	0
1700011A15Rik	0	0	0	0
1700011E24Rik	0	0	0	0
1700011F03Rik	0	0	0	0
1700011F14Rik	0	0	2	0
1700011H14Rik	7	13	11	9
1700011I03Rik	0	0	0	0
1700011L22Rik	0	0	0	0
1700011M02Rik	0	0	0	0
1700012A03Rik	0	0	0	0
1700012A16Rik	0	0	0	0
1700012B07Rik	0	0	0	0
1700012B09Rik	0	0	0	0
1700012B15Rik	13	25	17	17
1700012D14Rik	0	2	3	1
1700012L04Rik	0	0	0	0
1700012P22Rik	0	0	0	0
1700013D24Rik	0	0	0	0
1700013F07Rik	0	0	0	0
1700013G24Rik	0	0	0	0
1700013H16Rik	0	0	0	0
1700013N18Rik	0	0	0	0
1700014N06Rik	0	0	0	0
1700015E13Rik	0	0	0	0
1700015F17Rik	0	0	0	0
1700015G11Rik	0	0	0	0
1700016C15Rik	0	0	0	0
1700016D06Rik	0	0	0	0
1700016H13Rik	0	0	1	0
1700016K19Rik	2	4	0	4
1700016L21Rik	0	0	0	0
1700016M24Rik	0	0	0	0
1700016P04Rik	0	0	0	0
1700017B05Rik	73	121	83	94
1700017D01Rik	0	0	0	0
1700017G19Rik	0	0	0	0
1700017J07Rik	0	0	0	0
1700017N19Rik	0	0	0	0
1700018A04Rik	0	0	0	0
1700018A14Rik	0	0	0	0
1700018B08Rik	0	0	0	0
1700018B24Rik	0	0	0	0
1700018C11Rik	0	0	0	0
1700018F24Rik	0	0	0	0
1700018L02Rik	0	2	2	5
1700018L24Rik	0	0	0	0
1700019A02Rik	0	1	0	0
1700019B03Rik	0	1	0	0
1700019D03Rik	41	61	34	47
1700019E08Rik	0	0	0	0
1700019E19Rik	4	10	10	9
1700019G17Rik	18	25	27	22
1700019G24Rik	0	0	0	0
1700019L03Rik	0	0	0	0
1700019M22Rik	0	0	0	0
1700019N12Rik	0	0	0	0
1700019N19Rik	0	0	0	0
1700019O17Rik	0	0	0	0
1700020A23Rik	0	0	0	0
1700020C07Rik	0	0	0	0
1700020D05Rik	2	0	0	0
1700020I14Rik	70	89	63	82
1700020L24Rik	0	0	0	0
1700020M21Rik	0	0	0	0
1700020N01Rik	0	0	0	0
1700020N18Rik	0	0	0	0
1700020O03Rik	63	76	77	102
1700021C14Rik	3	9	13	11
1700021F05Rik	158	146	212	140
1700021F07Rik	0	0	0	0
1700021K19Rik	111	147	93	118
1700022A21Rik	0	0	0	0
1700022E09Rik	0	0	0	0
1700022I11Rik	0	0	0	0
1700022P22Rik	0	0	0	0
1700023A16Rik	0	0	0	0
1700023E05Rik	0	0	0	0
1700023F02Rik	0	0	0	0
1700023I07Rik	0	0	0	0
1700023L04Rik	0	0	0	0
1700024G13Rik	0	0	0	0
1700024P03Rik	0	0	0	0
1700024P04Rik	0	0	0	0
1700024P16Rik	0	1	0	0
1700025B11Rik	0	0	0	0
1700025C18Rik	0	0	0	0
1700025E21Rik	0	1	0	0
1700025F22Rik	0	0	0	0
1700025F24Rik	0	0	0	0
1700025G04Rik	32	20	28	34
1700025K23Rik	3	3	3	0
1700025M24Rik	0	0	0	0
1700025N23Rik	0	0	0	0
1700026D08Rik	0	0	0	0
1700026D11Rik	0	0	0	0
1700026J04Rik	6	4	4	1
1700026L06Rik	2	0	0	0
1700027A15Rik	0	0	0	0
1700027A23Rik	0	0	0	0
1700027D21Rik	0	0	0	0
1700027F09Rik	0	0	0	0
1700027H10Rik	0	0	0	0
1700027I24Rik	0	0	0	0
1700027J07Rik	1	0	0	0
1700027L20Rik	0	0	0	0
1700028B04Rik	0	0	0	0
1700028I16Rik	0	0	0	0
1700028J19Rik	54	80	89	46
1700028K03Rik	0	0	0	0
1700028M03Rik	0	0	0	0
1700028P14Rik	0	0	0	0
1700028P15Rik	0	0	0	0
1700029B22Rik	0	0	0	0
1700029F09Rik	90	106	105	142
1700029F12Rik	0	1	0	2
1700029G01Rik	7	14	7	11
1700029H14Rik	0	0	0	0
1700029I01Rik	0	0	0	0
1700029I15Rik	1	1	1	0
1700029J03Rik	0	0	0	0
1700029J07Rik	5	2	5	5
1700029J11Rik	0	0	0	0
1700029M20Rik	0	0	0	0
1700029P11Rik	0	0	0	0
1700030C10Rik	0	0	0	0
1700030F18Rik	0	0	0	0
1700030J22Rik	1	1	0	0
1700030K09Rik	16	14	25	21
1700030L20Rik	0	0	0	0
1700031F05Rik	0	0	0	0
1700031M16Rik	0	0	0	0
1700034E13Rik	0	0	0	0
1700034F02Rik	1	1	1	0
1700034H14Rik	35	44	39	51
1700034H15Rik	4	3	2	0
1700034I23Rik	0	0	0	0
1700034J05Rik	0	0	0	0
1700034K08Rik	0	0	0	0
1700034O15Rik	2	0	0	1
1700034P13Rik	0	0	0	0
1700036G14Rik	0	0	0	0
1700037C18Rik	5	3	11	5
1700037H04Rik	28	12	8	12
1700039E15Rik	0	0	0	0
1700040I03Rik	66	55	62	52
1700040L02Rik	21	37	30	16
1700040N02Rik	0	0	0	0
1700041C23Rik	0	0	0	0
1700041M19Rik	0	0	0	0
1700042B14Rik	0	0	0	0
1700042G07Rik	0	0	0	0
1700042G15Rik	0	0	0	0
1700044K03Rik	0	0	0	0
1700045H11Rik	0	0	0	0
1700045I19Rik	1	3	2	1
1700047G03Rik	0	0	0	0
1700047I17Rik2	0	0	0	0
1700047L14Rik	0	0	0	0
1700047M11Rik	0	0	0	1
1700048O20Rik	0	0	1	0
1700049E15Rik	4	1	0	14
1700049E22Rik	0	0	0	0
1700049G17Rik	12	20	19	16
1700049L16Rik	0	0	0	1
1700052I22Rik	0	0	0	0
1700052K11Rik	13	17	25	28
1700052N19Rik	37	60	67	49
1700054K19Rik	0	0	0	0
1700054N08Rik	2	4	0	2
1700054O13Rik	0	1	0	0
1700055C04Rik	0	0	0	0
1700055N04Rik	0	0	0	0
1700056E22Rik	0	0	1	1
1700057G04Rik	0	0	0	0
1700057H15Rik	0	0	0	0
1700057K13Rik	0	0	0	0
1700058G18Rik	0	0	0	0
1700060C20Rik	0	0	0	0
1700061F12Rik	0	0	0	0
1700061G19Rik	0	0	0	0
1700061I17Rik	0	0	0	0
1700061J05Rik	0	0	1	0
1700063A18Rik	0	0	0	0
1700063D05Rik	0	0	0	0
1700065D16Rik	0	0	0	0
1700065I16Rik	0	0	0	0
1700065I17Rik	0	0	0	0
1700065J11Rik	0	0	0	0
1700065J18Rik	0	0	0	0
1700066B17Rik	0	0	0	0
1700066B19Rik	0	0	0	0
1700066M21Rik	32	50	35	52
1700066O22Rik	0	0	0	0
1700067G17Rik	0	0	0	0
1700067K01Rik	0	0	0	0
1700067P10Rik	0	0	0	0
1700069L16Rik	0	0	0	0
1700069P05Rik	0	0	0	0
1700071K01Rik	0	0	0	0
1700072B07Rik	0	0	0	0
1700072E05Rik	0	0	0	0
1700073E17Rik	0	0	0	0
1700074P13Rik	0	0	0	0
1700080E11Rik	0	0	0	0
1700080N15Rik	0	0	0	0
1700080O16Rik	0	0	0	0
1700081H04Rik	0	0	0	0
1700081L11Rik	151	220	153	198
1700084C01Rik	0	0	1	0
1700084E18Rik	0	0	1	0
1700084J12Rik	2	1	1	5
1700085B03Rik	0	0	0	0
1700086L19Rik	9	13	6	6
1700086O06Rik	7	8	18	14
1700088E04Rik	3	2	3	4
1700090G07Rik	0	0	0	0
1700092M07Rik	0	0	1	0
1700093K21Rik	1	0	0	1
1700094D03Rik	20	28	15	27
1700094J05Rik	0	1	0	0
1700095B10Rik	0	0	0	0
1700095B22Rik	1	0	0	0
1700096J18Rik	0	0	0	0
1700096K18Rik	5	2	3	1
1700101E01Rik	0	0	0	1
1700102P08Rik	0	2	1	2
1700106J16Rik	0	0	0	0
1700106N22Rik	8	14	15	13
1700108F19Rik	0	0	0	0
1700108J01Rik	0	0	0	0
1700108M19Rik	0	0	0	0
1700109F18Rik	0	0	0	0
1700109G14Rik	0	0	0	0
1700109H08Rik	2	1	3	2
1700110I01Rik	0	0	0	0
1700110K17Rik	12	19	1	24
1700110M21Rik	0	0	0	0
1700111N16Rik	0	0	0	0
1700112E06Rik	2	10	17	27
1700112H15Rik	0	0	0	0
1700113H08Rik	0	0	0	0
1700113I22Rik	21	32	19	23
1700119H24Rik	0	0	0	0
1700120K04Rik	0	1	0	0
1700121N20Rik	0	0	0	0
1700123I01Rik	0	0	0	0
1700123K08Rik	0	0	0	0
1700123L14Rik	0	0	0	0
1700123M08Rik	3	0	0	2
1700123O20Rik	115	94	85	154
1700125D06Rik	0	0	0	0
1700125G02Rik	0	0	0	0
1700125G22Rik	0	0	0	0
1700125H03Rik	0	0	0	0
1700125H20Rik	0	0	0	1
1700126H18Rik	0	0	0	0
1700128F08Rik	0	0	0	0
1700129C05Rik	0	0	0	0
1810006J02Rik	0	0	0	0
1810006K21Rik	313	437	386	485
1810007D17Rik	164	157	60	152
1810007I06Rik	0	0	0	0
1810008A18Rik	90	105	76	126
1810009A15Rik	29	33	36	46
1810009J06Rik	121	38	57	151
1810010D01Rik	198	308	250	195
1810010H24Rik	12	8	20	2
1810011H11Rik	1	0	0	0
1810011O10Rik	444	613	494	478
1810012P15Rik	194	189	211	232
1810013D10Rik	80	81	100	74
1810013L24Rik	131	193	166	149
1810014B01Rik	11	12	25	19
1810014F10Rik	167	175	144	159
1810018F18Rik	1171	794	1000	878
1810019D21Rik	83	167	127	87
1810019J16Rik	126	132	115	112
1810020D17Rik	73	79	54	94
1810021B22Rik	10	7	7	6
1810022K09Rik	34	54	38	46
1810024B03Rik	1	0	1	0
1810026B05Rik	55	116	84	127
1810026J23Rik	300	267	272	264
1810027O10Rik	213	217	265	269
1810029B16Rik	15	4	6	14
1810030J14Rik	0	0	0	0
1810030N24Rik	44	42	54	32
1810030O07Rik	103	110	87	77
1810031K17Rik	188	362	268	248
1810032O08Rik	15	22	13	22
1810033B17Rik	0	0	1	0
1810035I16Rik	36	58	59	14
1810035L17Rik	54	61	57	140
1810037I17Rik	76	96	86	88
1810041L15Rik	209	199	172	204
1810043G02Rik	27	31	21	20
1810043H04Rik	33	38	17	43
1810044D09Rik	21	23	13	21
1810046J19Rik	338	297	335	392
1810046K07Rik	0	0	0	0
1810048J11Rik	35	39	35	28
1810049H13Rik	20	17	18	16
1810053B23Rik	425	476	485	578
1810055G02Rik	20	15	20	28
1810058I24Rik	103	105	89	103
1810062G17Rik	11	11	7	12
1810062O18Rik	0	0	0	0
1810063B05Rik	31	47	44	52
1810063B07Rik	59	81	78	55
1810064F22Rik	19	27	27	17
1810065E05Rik	0	0	0	0
1810074P20Rik	406	361	364	368
2010001E11Rik	0	0	0	0
2010001M06Rik	53	37	27	12
2010001M09Rik	1	0	1	1
2010002M12Rik	0	0	0	1
2010002N04Rik	68	93	112	99
2010003K11Rik	0	0	0	0
2010003K15Rik	0	0	0	0
2010005H15Rik	0	0	0	0
2010007H12Rik	10	9	10	16
2010009K17Rik	0	0	0	0
2010011I20Rik	641	587	626	490
2010012O05Rik	28	24	40	27
2010015L04Rik	1	4	1	0
2010016I18Rik	0	0	0	0
2010106E10Rik	0	0	0	0
2010106G01Rik	273	313	310	354
2010107E04Rik	409	408	502	549
2010107G12Rik	0	0	0	0
2010107G23Rik	48	55	53	43
2010107H07Rik	33	31	24	28
2010109I03Rik	0	0	0	0
2010109K11Rik	65	66	47	57
2010110P09Rik	0	1	0	1
2010111I01Rik	49	86	64	60
2010204K13Rik	12	7	5	8
2010300C02Rik	494	753	535	517
2010305A19Rik	47	44	49	36
2010315B03Rik	0	0	0	0
2010317E24Rik	32	25	3	4
2010320M18Rik	11	14	10	14
2010321M09Rik	68	91	55	78
2200002D01Rik	0	3	1	4
2200002J24Rik	15	13	30	12
2200002K05Rik	0	0	0	0
2210009G21Rik	9	13	6	9
2210010C04Rik	950561	878001	958961	764778
2210010C17Rik	187	134	123	151
2210012G02Rik	58	61	51	59
2210013O21Rik	31	21	19	29
2210015D19Rik	52	43	50	56
2210016F16Rik	164	153	164	206
2210016L21Rik	86	113	75	116
2210018M11Rik	36	53	25	54
2210019I11Rik	3	3	3	7
2210020M01Rik	10	9	34	13
2210021J22Rik	90	123	114	74
2210039B01Rik	0	2	0	0
2210403K04Rik	16	11	6	18
2210404J11Rik	27	22	29	26
2210404O07Rik	17	66	34	34
2210407C18Rik	1	0	4	9
2210408F21Rik	9	8	6	14
2210408I21Rik	23	12	17	22
2210409E12Rik	0	0	0	0
2210411K11Rik	77	66	60	60
2210414B05Rik	0	0	0	0
2210415F13Rik	0	0	0	0
2210417A02Rik	0	0	0	0
2210417K05Rik	0	0	1	1
2300002M23Rik	0	0	0	0
2300003K06Rik	0	0	0	0
2300005B03Rik	0	0	0	0
2300009A05Rik	18	32	19	18
2310001A20Rik	175	180	156	165
2310001H17Rik	11	19	19	11
2310001K24Rik	0	0	0	0
2310002J15Rik	0	0	0	0
2310002L09Rik	0	0	0	0
2310002L13Rik	0	0	0	0
2310003C23Rik	101	118	119	102
2310003F16Rik	262	255	310	332
2310003H01Rik	36	38	23	31
2310003L22Rik	18	17	35	25
2310004I24Rik	41	66	59	61
2310004N24Rik	40	43	33	42
2310005A03Rik	0	0	0	0
2310005G13Rik	0	0	0	0
2310007B03Rik	0	0	0	1
2310007L24Rik	1	2	0	0
2310008H04Rik	58	46	56	67
2310008H09Rik	334	444	393	372
2310009A05Rik	49	60	43	60
2310009B15Rik	8	5	5	15
2310010M20Rik	0	0	0	0
2310011J03Rik	57	58	57	64
2310014F07Rik	1	0	0	0
2310014H01Rik	9	0	1	7
2310014L17Rik	12	6	9	3
2310015A10Rik	25	25	16	14
2310015B20Rik	0	3	4	3
2310015D24Rik	0	0	0	0
2310016C08Rik	33	31	47	59
2310016M24Rik	54	58	76	59
2310021P13Rik	156	169	75	116
2310022A10Rik	33	44	40	28
2310022B05Rik	58	47	45	54
2310028H24Rik	7	10	9	4
2310028O11Rik	329	360	361	434
2310030A07Rik	0	0	0	0
2310030G06Rik	155	155	173	123
2310030N02Rik	7	11	7	12
2310033E01Rik	0	0	0	0
2310033P09Rik	13	11	8	8
2310034C09Rik	0	0	0	0
2310034G01Rik	1	1	0	1
2310034O05Rik	0	0	0	0
2310035C23Rik	107	107	86	107
2310035K24Rik	53	67	38	35
2310036O22Rik	136	177	166	188
2310037I24Rik	18	22	18	24
2310039H08Rik	52	62	67	46
2310040G24Rik	16	19	18	20
2310042D19Rik	3	5	1	1
2310042E22Rik	0	0	0	0
2310043J07Rik	0	0	0	0
2310043L19Rik	0	0	0	0
2310044G17Rik	117	92	82	130
2310044H10Rik	566	328	374	324
2310045N01Rik	40	24	33	34
2310046A06Rik	0	0	0	0
2310046K01Rik	5	2	4	3
2310046O06Rik	49	74	59	63
2310047B19Rik	43	43	44	50
2310047M10Rik	23	26	24	25
2310050B05Rik	0	0	0	0
2310050C09Rik	0	0	0	0
2310057J16Rik	200	175	110	135
2310057J18Rik	0	0	2	1
2310057M21Rik	23	21	21	34
2310057N15Rik	0	0	0	0
2310061C15Rik	35	46	50	40
2310061I04Rik	122	117	146	99
2310061J03Rik	4	9	13	5
2310061N02Rik	0	0	0	0
2310065F04Rik	0	0	0	0
2310067B10Rik	88	121	68	77
2310068J16Rik	1	1	0	0
2310069B03Rik	0	0	0	0
2310069G16Rik	2	12	13	9
2310079F23Rik	12	14	17	19
2310079G19Rik	0	0	0	0
2400001E08Rik	142	119	106	136
2400003C14Rik	315	434	403	389
2410001C21Rik	194	197	185	209
2410002F23Rik	104	97	47	115
2410002I01Rik	73	85	66	65
2410002O22Rik	140	157	149	183
2410003K15Rik	50	83	63	67
2410004A20Rik	1	1	0	0
2410004B18Rik	19	37	25	33
2410004I01Rik	0	0	0	0
2410004N09Rik	15	15	25	36
2410004P03Rik	0	0	0	0
2410006H16Rik	81	156	110	234
2410007B07Rik	0	0	0	0
2410012M07Rik	1	0	0	0
2410015M20Rik	318	312	333	420
2410016O06Rik	24	37	46	30
2410017I17Rik	0	0	0	0
2410017P09Rik	123	94	52	85
2410018L13Rik	0	0	0	0
2410018M08Rik	12	2	7	11
2410022L05Rik	52	42	43	51
2410042D21Rik	87	94	80	81
2410057H14Rik	0	0	0	0
2410066E13Rik	20	50	33	36
2410075B13Rik	24	29	33	21
2410076I21Rik	0	0	0	0
2410088K16Rik	0	0	0	0
2410089E03Rik	34	49	31	46
2410091C18Rik	61	49	60	61
2410114N07Rik	0	0	0	0
2410127L17Rik	3	5	4	3
2410131K14Rik	35	49	29	37
2410137F16Rik	0	0	0	0
2410137M14Rik	0	0	0	0
2410141K09Rik	0	0	0	0
2500003M10Rik	250	367	245	362
2500004C02Rik	5	5	14	6
2510002D24Rik	51	70	60	62
2510003D18Rik	0	0	0	0
2510003E04Rik	105	133	126	122
2510006D16Rik	347	316	233	334
2510009E07Rik	113	117	116	110
2510012J08Rik	50	50	32	42
2510039O18Rik	144	189	92	170
2510049J12Rik	99	75	70	78
2600006L11Rik	0	0	0	0
2610001J05Rik	92	128	126	129
2610002D18Rik	2	3	0	7
2610002I17Rik	19	27	14	17
2610002J02Rik	99	97	66	85
2610002M06Rik	110	114	94	111
2610005L07Rik	9	7	3	5
2610008E11Rik	52	64	51	53
2610015P09Rik	36	51	30	35
2610017I09Rik	0	0	0	0
2610018G03Rik	21	18	21	18
2610019F03Rik	8	2	4	1
2610020C07Rik	0	0	0	0
2610020H08Rik	4	6	5	5
2610021K21Rik	0	4	2	0
2610024G14Rik	93	127	92	117
2610027L16Rik	112	85	112	116
2610028E06Rik	0	0	0	0
2610028H24Rik	0	0	0	0
2610029G23Rik	73	63	88	75
2610029I01Rik	48	32	52	39
2610034B18Rik	73	63	85	63
2610034M16Rik	0	0	0	0
2610035D17Rik	15	13	10	12
2610037D02Rik	0	0	0	0
2610039C10Rik	3	14	5	6
2610044O15Rik	8	7	10	10
2610100L16Rik	0	0	0	0
2610101N10Rik	183	221	157	224
2610109H07Rik	0	0	0	0
2610203C20Rik	0	0	1	0
2610203C22Rik	0	0	0	0
2610204G22Rik	0	1	0	0
2610206C17Rik	0	2	0	0
2610301B20Rik	61	44	45	46
2610301G19Rik	153	145	118	123
2610305D13Rik	5	5	10	6
2610306M01Rik	16	13	7	13
2610318N02Rik	5	6	4	3
2610507B11Rik	1271	1129	737	1049
2610507I01Rik	38	53	52	52
2610524H06Rik	13	8	10	12
2610528A11Rik	0	1	2	4
2610528E23Rik	15	26	26	38
2610528J11Rik	73	116	83	52
2700007P21Rik	106	108	86	113
2700023E23Rik	7	8	9	12
2700029M09Rik	46	43	55	58
2700046A07Rik	1	0	2	0
2700046G09Rik	6	6	10	4
2700049A03Rik	29	42	11	27
2700050L05Rik	132	132	104	141
2700060E02Rik	155	176	225	330
2700062C07Rik	28	27	34	33
2700078E11Rik	274	311	293	300
2700078K21Rik	217	275	259	213
2700081O15Rik	14	9	8	12
2700086A05Rik	0	0	0	0
2700089E24Rik	490	555	574	528
2700090O03Rik	0	0	0	0
2700094K13Rik	57	66	41	58
2700097O09Rik	18	15	19	40
2700099C18Rik	1	0	2	0
2810001G20Rik	2	5	8	4
2810002D19Rik	5	14	8	7
2810002N01Rik	98	76	88	102
2810004N23Rik	70	72	43	95
2810006K23Rik	31	30	38	30
2810007J24Rik	0	0	0	0
2810008D09Rik	8	10	4	3
2810008M24Rik	81	94	77	117
2810021B07Rik	27	25	42	23
2810021J22Rik	27	26	13	25
2810025M15Rik	17	13	13	11
2810030E01Rik	7	10	15	3
2810032G03Rik	0	0	0	0
2810046L04Rik	42	44	35	46
2810047C21Rik1	0	0	0	0
2810055F11Rik	4	3	7	12
2810055G20Rik	0	4	3	3
2810403A07Rik	122	207	93	194
2810403D21Rik	2	6	3	7
2810405F15Rik	0	0	0	0
2810405K02Rik	18	24	26	21
2810407C02Rik	639	548	585	695
2810408A11Rik	3	2	2	2
2810408I11Rik	2	3	1	0
2810408M09Rik	42	52	32	57
2810410L24Rik	3	4	4	2
2810417H13Rik	5	0	0	7
2810422J05Rik	151	223	195	199
2810422O20Rik	22	39	40	32
2810428I15Rik	191	149	65	105
2810429I04Rik	0	0	0	0
2810432D09Rik	84	99	85	97
2810432L12Rik	54	67	59	52
2810433D01Rik	2	0	1	1
2810442I21Rik	0	2	0	0
2810442N19Rik	0	0	0	0
2810453I06Rik	99	88	97	114
2810454H06Rik	0	0	1	1
2810459M11Rik	10	7	2	2
2810474O19Rik	53	50	52	59
2900002K06Rik	0	0	0	0
2900005J15Rik	6	6	1	2
2900006K08Rik	2	0	2	2
2900010M23Rik	158	174	160	165
2900011O08Rik	0	0	0	0
2900026A02Rik	300	493	339	333
2900041M22Rik	0	0	0	0
2900052N01Rik	0	1	0	0
2900053A13Rik	64	75	98	95
2900056M20Rik	7	22	11	16
2900060B14Rik	0	1	1	1
2900064A13Rik	397	402	421	437
2900073G15Rik	155	254	170	233
2900079G21Rik	0	0	0	0
2900092C05Rik	0	0	0	0
2900092D14Rik	0	0	0	0
2900092E17Rik	60	65	67	66
2900093L17Rik	0	0	0	0
2900097C17Rik	139	140	101	130
3000002C10Rik	11	8	6	14
3010026O09Rik	10	11	10	17
3110001D03Rik	85	76	66	78
