ProbeIDs	GAOM_10	GAOM_11	GAOM_1	GAOM_2	GAOM_3	GAOM_6
1110012D08Rik	18	18	7	12	21	18
1110012J17Rik	21	26	12	28	11	15
1110012L19Rik	25	28	37	28	32	29
1110014N23Rik	100	131	67	65	63	118
1110017D15Rik	0	0	0	0	0	0
1110017F19Rik	78	149	76	44	187	98
1110018G07Rik	119	111	99	62	84	132
1110018J18Rik	79	122	95	119	131	130
1110020A21Rik	1	7	3	4	5	6
1110020G09Rik	206	220	187	156	217	193
1110021J02Rik	92	105	103	84	81	124
1110021L09Rik	89	86	37	41	67	96
1110028C15Rik	132	162	173	147	120	157
1110031I02Rik	87	89	54	50	72	73
1110032A03Rik	124	126	99	113	134	93
1110032A04Rik	0	1	0	1	0	0
1110032F04Rik	0	0	0	0	0	0
1110034A24Rik	31	27	18	15	33	30
1110034B05Rik	16	19	32	19	20	24
1110034G24Rik	5	16	11	20	23	13
1110036E04Rik	0	0	0	0	0	0
1110037F02Rik	113	161	126	104	131	157
1110038B12Rik	52	71	22	65	28	121
1110038D17Rik	437	733	1310	505	752	519
1110038F14Rik	62	66	37	40	57	50
1110046J04Rik	3	0	0	0	1	2
1110049F12Rik	111	188	109	111	145	147
1110051M20Rik	24	24	13	27	30	25
1110054M08Rik	31	47	14	23	42	23
1110054O05Rik	73	61	46	51	68	58
1110057K04Rik	159	188	165	154	156	177
1110058L19Rik	28	39	34	45	37	50
1110059E24Rik	74	71	42	84	87	94
1110059G10Rik	20	37	32	35	48	49
1110059M19Rik	0	0	0	0	0	0
1110065P20Rik	119	163	98	124	139	135
1110067D22Rik	79	79	290	89	95	185
1190002F15Rik	10	12	0	11	1	1
1190002H23Rik	3	0	1	12	2	1
1190002N15Rik	53	83	43	74	64	74
1190003J15Rik	186	123	110	91	156	177
1190003K10Rik	0	0	0	0	0	0
1190005F20Rik	37	53	36	34	36	54
1190005I06Rik	5	5	3	9	3	5
1190007F08Rik	200	156	72	118	145	160
1190007I07Rik	12	19	10	13	26	16
1200009I06Rik	2	0	1	3	0	0
1200011I18Rik	141	171	155	142	134	162
1200011M11Rik	61	86	60	31	74	83
1200014J11Rik	140	113	118	100	128	138
1200016B10Rik	109	99	134	101	86	103
1300001I01Rik	452	421	325	264	252	425
1300002E11Rik	47	51	39	40	50	53
1300002K09Rik	18	9	4	26	8	31
1300010F03Rik	355	388	303	206	323	367
1300014I06Rik	0	3	1	4	0	4
1300015D01Rik	0	0	0	0	0	0
1300017J02Rik	0	0	0	0	0	0
1300018I17Rik	60	68	46	46	53	61
1300018J18Rik	189	251	188	136	190	172
1500001M20Rik	29	32	29	22	17	30
1500002O10Rik	0	0	0	0	0	0
1500002O20Rik	30	28	19	16	29	20
1500003O03Rik	1038	901	650	798	1004	1030
1500004A13Rik	0	0	0	0	0	0
1500009C09Rik	0	0	0	0	0	0
1500009L16Rik	2	0	0	0	0	0
1500010J02Rik	36	49	17	28	36	47
1500011B03Rik	27	26	7	32	30	16
1500011H22Rik	20	12	16	17	21	17
1500011K16Rik	29	26	16	18	32	42
1500012F01Rik	87	224	129	254	165	403
1500015A07Rik	22	14	2	14	14	16
1500015O10Rik	0	0	0	0	0	0
1500016L03Rik	0	0	0	0	0	0
1500017E21Rik	0	0	0	0	0	0
1500031L02Rik	39	35	26	53	42	48
1500032L24Rik	450	378	193	280	361	299
1520402A15Rik	11	11	5	6	6	10
1600002D24Rik	2	0	2	0	1	2
1600002H07Rik	30	39	18	19	12	34
1600002K03Rik	26	28	14	17	22	37
1600010M07Rik	0	0	1	0	0	0
1600012F09Rik	39	26	37	27	23	60
1600012H06Rik	167	232	228	165	230	216
1600014C10Rik	83	110	68	67	105	103
1600014C23Rik	0	0	0	0	0	0
1600014K23Rik	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0
1600016N20Rik	15	17	12	10	10	16
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	8	23	10	22	15	27
1600021P15Rik	6	6	8	3	4	6
1600025M17Rik	0	0	0	0	0	0
1600027N09Rik	11	30	21	11	15	15
1600029D21Rik	41	33	9	69	28	45
1600029I14Rik	0	0	0	0	0	0
1600029O15Rik	0	1	0	0	0	1
1700001C02Rik	0	0	0	0	0	0
1700001C19Rik	0	1	0	0	0	0
1700001F09Rik	0	0	0	0	0	0
1700001G11Rik	0	0	0	0	0	0
1700001G17Rik	0	1	0	0	0	0
1700001J03Rik	0	0	0	0	0	1
1700001J11Rik	1	0	0	0	0	0
1700001K19Rik	0	0	0	0	0	0
1700001K23Rik	0	0	0	0	0	0
1700001L05Rik	11	8	3	3	6	6
1700001L19Rik	1	0	0	0	0	0
1700001O22Rik	12	6	1	12	9	9
1700001P01Rik	0	0	0	0	0	0
1700003E16Rik	4	0	0	2	1	0
1700003F12Rik	0	0	0	0	0	0
1700003G13Rik	0	0	0	0	0	0
1700003G18Rik	0	0	0	1	0	0
1700003H04Rik	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0
1700003M02Rik	0	1	0	0	0	0
1700003M07Rik	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0
1700007B14Rik	0	0	0	3	1	0
1700007E06Rik	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0
1700007G11Rik	0	1	0	0	2	1
1700007I08Rik	0	0	0	0	0	0
1700007K09Rik	0	0	0	0	1	1
1700007K13Rik	0	1	1	1	0	2
1700007P06Rik	0	0	0	0	0	0
1700008A04Rik	0	0	0	0	0	0
1700008F21Rik	0	0	0	0	0	0
1700008I05Rik	0	0	0	0	0	0
1700008J07Rik	3	5	0	3	5	9
1700008K24Rik	0	0	0	0	0	0
1700008O03Rik	0	0	0	0	0	0
1700008P02Rik	0	0	0	0	0	0
1700008P20Rik	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0
1700009P17Rik	9	5	3	2	2	4
1700010B08Rik	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0
1700010I14Rik	3	7	4	3	5	2
1700010J16Rik	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0
1700010M22Rik	0	0	0	0	0	0
1700011A15Rik	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	0
1700011F03Rik	0	0	0	0	0	0
1700011F14Rik	0	0	0	0	2	0
1700011H14Rik	7	13	8	35	11	9
1700011I03Rik	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0
1700012A16Rik	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0
1700012B15Rik	13	25	5	12	17	17
1700012D14Rik	0	2	1	0	3	1
1700012L04Rik	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0
1700013N18Rik	0	0	0	0	0	0
1700014N06Rik	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0
1700016D06Rik	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	1	0
1700016K19Rik	2	4	0	1	0	4
1700016L21Rik	0	0	0	0	0	0
1700016M24Rik	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0
1700017B05Rik	73	121	59	33	83	94
1700017D01Rik	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0
1700018A14Rik	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0
1700018L02Rik	0	2	1	0	2	5
1700018L24Rik	0	0	0	0	0	0
1700019A02Rik	0	1	0	0	0	0
1700019B03Rik	0	1	0	0	0	0
1700019D03Rik	41	61	21	24	34	47
1700019E08Rik	0	0	0	0	0	0
1700019E19Rik	4	10	3	4	10	9
1700019G17Rik	18	25	25	16	27	22
1700019G24Rik	0	0	0	0	0	0
1700019L03Rik	0	0	0	0	0	0
1700019M22Rik	0	0	0	0	0	0
1700019N12Rik	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0
1700020C07Rik	0	0	0	0	0	0
1700020D05Rik	2	0	0	0	0	0
1700020I14Rik	70	89	69	77	63	82
1700020L24Rik	0	0	0	0	0	0
1700020M21Rik	0	0	0	0	0	0
1700020N01Rik	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0
1700020O03Rik	63	76	82	69	77	102
1700021C14Rik	3	9	8	10	13	11
1700021F05Rik	158	146	130	144	212	140
1700021F07Rik	0	0	0	0	0	0
1700021K19Rik	111	147	76	92	93	118
1700022A21Rik	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0
1700022P22Rik	0	0	0	0	0	0
1700023A16Rik	0	0	0	0	0	0
1700023E05Rik	0	0	1	0	0	0
1700023F02Rik	0	0	0	0	0	0
1700023I07Rik	0	0	0	0	0	0
1700023L04Rik	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0
1700024P03Rik	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0
1700024P16Rik	0	1	0	1	0	0
1700025B11Rik	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0
1700025E21Rik	0	1	1	0	0	0
1700025F22Rik	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0
1700025G04Rik	32	20	46	26	28	34
1700025K23Rik	3	3	0	1	3	0
1700025M24Rik	0	0	0	0	0	0
1700025N23Rik	0	0	0	0	0	0
1700026D08Rik	0	0	0	0	0	0
1700026D11Rik	0	0	0	0	0	0
1700026J04Rik	6	4	4	1	4	1
1700026L06Rik	2	0	0	2	0	0
1700027A15Rik	0	0	0	0	0	0
1700027A23Rik	0	0	0	0	0	0
1700027D21Rik	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0
1700027J07Rik	1	0	0	0	0	0
1700027L20Rik	0	0	0	0	0	0
1700028B04Rik	0	0	0	0	0	0
1700028I16Rik	0	0	0	0	0	0
1700028J19Rik	54	80	24	68	89	46
1700028K03Rik	0	0	0	0	0	0
1700028M03Rik	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0
1700029F09Rik	90	106	114	117	105	142
1700029F12Rik	0	1	0	2	0	2
1700029G01Rik	7	14	5	6	7	11
1700029H14Rik	0	0	0	0	0	0
1700029I01Rik	0	0	0	2	0	0
1700029I15Rik	1	1	0	0	1	0
1700029J03Rik	0	0	0	0	0	0
1700029J07Rik	5	2	2	1	5	5
1700029J11Rik	0	0	1	0	0	0
1700029M20Rik	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	0
1700030C10Rik	0	0	0	2	0	0
1700030F18Rik	0	0	0	0	0	0
1700030J22Rik	1	1	1	0	0	0
1700030K09Rik	16	14	20	10	25	21
1700030L20Rik	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0
1700034F02Rik	1	1	0	1	1	0
1700034H14Rik	35	44	49	47	39	51
1700034H15Rik	4	3	7	0	2	0
1700034I23Rik	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0
1700034O15Rik	2	0	1	0	0	1
1700034P13Rik	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0
1700037C18Rik	5	3	6	6	11	5
1700037H04Rik	28	12	10	15	8	12
1700039E15Rik	0	0	0	0	0	0
1700040I03Rik	66	55	47	39	62	52
1700040L02Rik	21	37	20	29	30	16
1700040N02Rik	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0
1700042B14Rik	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0
1700045I19Rik	1	3	0	1	2	1
1700047G03Rik	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	0
1700047M11Rik	0	0	0	0	0	1
1700048O20Rik	0	0	0	0	1	0
1700049E15Rik	4	1	1	7	0	14
1700049E22Rik	0	0	0	0	0	0
1700049G17Rik	12	20	12	13	19	16
1700049L16Rik	0	0	0	0	0	1
1700052I22Rik	0	0	0	0	0	0
1700052K11Rik	13	17	19	12	25	28
1700052N19Rik	37	60	42	30	67	49
1700054K19Rik	0	0	0	0	0	0
1700054N08Rik	2	4	1	4	0	2
1700054O13Rik	0	1	0	2	0	0
1700055C04Rik	0	0	0	0	0	0
1700055N04Rik	0	0	0	0	0	0
1700056E22Rik	0	0	0	0	1	1
1700057G04Rik	0	0	0	0	0	0
1700057H15Rik	0	0	0	0	0	0
1700057K13Rik	0	0	0	0	0	0
1700058G18Rik	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0
1700061G19Rik	0	0	0	0	0	0
1700061I17Rik	0	0	0	0	0	0
1700061J05Rik	0	0	0	0	1	0
1700063A18Rik	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0
1700065D16Rik	0	0	0	0	0	0
1700065I16Rik	0	0	0	0	0	0
1700065I17Rik	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
1700066B19Rik	0	0	0	0	0	0
1700066M21Rik	32	50	27	43	35	52
1700066O22Rik	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0
1700067K01Rik	0	0	0	0	0	0
1700067P10Rik	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0
1700072B07Rik	0	0	0	0	0	0
1700072E05Rik	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0
1700081L11Rik	151	220	112	138	153	198
1700084C01Rik	0	0	0	0	1	0
1700084E18Rik	0	0	1	1	1	0
1700084J12Rik	2	1	1	1	1	5
1700085B03Rik	0	0	0	0	0	0
1700086L19Rik	9	13	1	7	6	6
1700086O06Rik	7	8	11	8	18	14
1700088E04Rik	3	2	4	5	3	4
1700090G07Rik	0	0	0	0	0	0
1700092M07Rik	0	0	0	0	1	0
1700093K21Rik	1	0	0	1	0	1
1700094D03Rik	20	28	19	18	15	27
1700094J05Rik	0	1	0	0	0	0
1700095B10Rik	0	0	0	0	0	0
1700095B22Rik	1	0	3	1	0	0
1700096J18Rik	0	0	0	0	0	0
1700096K18Rik	5	2	3	3	3	1
1700101E01Rik	0	0	0	0	0	1
1700102P08Rik	0	2	0	0	1	2
1700106J16Rik	0	0	0	0	0	0
1700106N22Rik	8	14	6	12	15	13
1700108F19Rik	0	0	0	0	0	0
1700108J01Rik	0	0	0	0	0	0
1700108M19Rik	0	0	0	0	0	0
1700109F18Rik	0	0	0	0	0	0
1700109G14Rik	0	0	0	0	0	0
1700109H08Rik	2	1	0	0	3	2
1700110I01Rik	0	0	0	0	0	0
1700110K17Rik	12	19	29	11	1	24
1700110M21Rik	0	0	0	0	0	0
1700111N16Rik	0	0	0	0	0	0
1700112E06Rik	2	10	28	16	17	27
1700112H15Rik	0	0	0	0	0	0
1700113H08Rik	0	0	0	0	0	0
1700113I22Rik	21	32	10	13	19	23
1700119H24Rik	0	0	0	0	0	0
1700120K04Rik	0	1	0	0	0	0
1700121N20Rik	0	0	0	0	0	0
1700123I01Rik	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0
1700123L14Rik	0	0	0	0	0	0
1700123M08Rik	3	0	1	0	0	2
1700123O20Rik	115	94	71	110	85	154
1700125D06Rik	0	0	0	1	0	0
1700125G02Rik	0	0	0	0	0	0
1700125G22Rik	0	0	0	0	0	0
1700125H03Rik	0	0	0	0	0	0
1700125H20Rik	0	0	0	1	0	1
1700126H18Rik	0	0	0	0	0	0
1700128F08Rik	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0
1810006J02Rik	0	0	0	1	0	0
1810006K21Rik	313	437	306	459	386	485
1810007D17Rik	164	157	103	61	60	152
1810007I06Rik	0	0	0	0	0	0
1810008A18Rik	90	105	63	66	76	126
1810009A15Rik	29	33	35	27	36	46
1810009J06Rik	121	38	37	53	57	151
1810010D01Rik	198	308	72	140	250	195
1810010H24Rik	12	8	11	1	20	2
1810011H11Rik	1	0	2	0	0	0
1810011O10Rik	444	613	191	249	494	478
1810012P15Rik	194	189	174	170	211	232
1810013D10Rik	80	81	67	52	100	74
1810013L24Rik	131	193	155	147	166	149
1810014B01Rik	11	12	12	16	25	19
1810014F10Rik	167	175	112	139	144	159
1810018F18Rik	1171	794	1031	895	1000	878
1810019D21Rik	83	167	87	50	127	87
1810019J16Rik	126	132	82	79	115	112
1810020D17Rik	73	79	83	80	54	94
1810021B22Rik	10	7	3	1	7	6
1810022K09Rik	34	54	31	46	38	46
1810024B03Rik	1	0	0	0	1	0
1810026B05Rik	55	116	93	103	84	127
1810026J23Rik	300	267	214	219	272	264
1810027O10Rik	213	217	195	216	265	269
1810029B16Rik	15	4	13	6	6	14
1810030J14Rik	0	0	0	0	0	0
1810030N24Rik	44	42	58	42	54	32
1810030O07Rik	103	110	76	92	87	77
1810031K17Rik	188	362	169	144	268	248
1810032O08Rik	15	22	9	7	13	22
1810033B17Rik	0	0	0	2	1	0
1810035I16Rik	36	58	45	49	59	14
1810035L17Rik	54	61	74	98	57	140
1810037I17Rik	76	96	58	109	86	88
1810041L15Rik	209	199	149	133	172	204
1810043G02Rik	27	31	6	20	21	20
1810043H04Rik	33	38	17	25	17	43
1810044D09Rik	21	23	8	13	13	21
1810046J19Rik	338	297	255	369	335	392
1810046K07Rik	0	0	0	0	0	0
1810048J11Rik	35	39	26	23	35	28
1810049H13Rik	20	17	3	14	18	16
1810053B23Rik	425	476	278	311	485	578
1810055G02Rik	20	15	19	19	20	28
1810058I24Rik	103	105	54	82	89	103
1810062G17Rik	11	11	7	14	7	12
1810062O18Rik	0	0	0	1	0	0
1810063B05Rik	31	47	33	46	44	52
1810063B07Rik	59	81	56	26	78	55
1810064F22Rik	19	27	15	24	27	17
1810065E05Rik	0	0	0	0	0	0
1810074P20Rik	406	361	378	329	364	368
2010001E11Rik	0	0	0	0	0	0
2010001M06Rik	53	37	13	20	27	12
2010001M09Rik	1	0	1	16	1	1
2010002M12Rik	0	0	0	0	0	1
2010002N04Rik	68	93	128	85	112	99
2010003K11Rik	0	0	0	0	0	0
2010003K15Rik	0	0	0	0	0	0
2010005H15Rik	0	0	0	0	0	0
2010007H12Rik	10	9	3	3	10	16
